0,0
11820, -200930
11830, -200930
11850, -200930
11730, -200930
11750, -200930
11770, -200930
11780, -200930
11800, -200930
11820, -200930
11830, -200930
11850, -200930
0, 0
130, 0
140, 0
150, 0
160, 0
170, 0
180, 0
190, 0
200, 0
210, 0
220, 0
230, 0
240, 0
250, 0
260, 0
270, 0
280, 0
290, 0
300, 0
310, 0
320, 0
330, 0
220, 0
220, 0
230, 0
240, 0
250, 0
250, 0
260, 0
270, 0
280, 0
280, 0
290, 0
300, 0
300, 0
310, 0
320, 0
330, 0
340, 0
350, 0
350, 0
360, 0
370, 0
380, 0
390, 0
400, 0
400, 0
410, 0
420, 0
430, 0
440, 0
450, 0
450, 0
460, 0
470, 0
480, 0
490, 0
500, 0
500, 0
510, 0
520, 0
530, 0
540, 0
540, 0
550, 0
560, 0
570, 0
580, 0
590, 0
590, 0
600, 0
610, 0
620, 0
630, 0
640, 0
640, 0
650, 0
660, 0
670, 0
680, 0
690, 0
690, 0
700, 0
710, 0
720, 0
730, 0
740, 0
740, 0
750, 0
760, 0
770, 0
780, 0
790, 0
790, 0
800, 0
810, 0
820, 0
830, 0
840, 0
840, 0
850, 0
860, 0
870, 0
880, 0
890, 0
890, 0
900, 0
910, 0
920, 0
930, 0
940, 0
940, 0
950, 0
960, 0
970, 0
980, 0
990, 0
990, 0
1000, 0
1010, 0
1020, 0
1030, 0
1040, 0
1040, 0
1050, 0
1060, 0
1070, 0
1080, 0
1090, 0
1090, 0
1100, 0
1110, 0
1120, 0
1130, 0
1140, 0
1140, 0
1150, 0
1160, 0
1170, 0
1180, 0
1190, 0
1190, 0
1200, 0
1210, 0
1220, 0
1230, 0
1240, 0
1250, 0
1260, 0
1270, 0
1280, 0
1290, 0
1290, 0
1300, 0
1310, 0
1320, 0
1330, 0
1340, 0
1350, 0
1360, 0
1370, 0
1380, 0
1390, 0
1400, 0
1410, 0
1420, 0
1430, 0
1440, 0
1440, 0
1450, 0
1460, 0
1470, 0
1480, 0
1490, 0
1500, 0
1510, 0
1520, 0
1530, 0
1540, 0
1550, 0
1560, 0
1570, 0
1580, 0
1580, 0
1590, 0
1600, 0
1610, 0
1620, 0
1630, 0
1640, 0
1650, 0
1660, 0
1670, 0
1680, 0
1690, 0
1700, 0
1710, 0
1720, 0
1730, 0
1730, 0
1740, 0
1750, 0
1760, 0
1770, 0
1780, 0
1790, 0
1800, 0
1810, 0
1820, 0
1830, 0
1840, 0
1850, 0
1860, 0
1870, 0
1880, 0
1880, 0
1890, 0
1900, 0
1910, 0
1920, 0
1930, 0
1940, 0
1950, 0
1960, 0
1970, 0
1980, 0
1990, 0
2000, 0
2010, 0
2020, 0
2020, 0
2030, 0
2040, 0
2050, 0
2060, 0
2070, 0
2080, 0
2090, 0
2100, 0
2110, 0
2120, 0
2130, 0
2140, 0
2150, 0
2160, 0
2170, 0
2170, 0
2180, 0
2190, 0
2200, 0
2210, 0
2220, 0
2230, 0
2240, 0
2250, 0
2260, 0
2270, 0
2280, 0
2290, 0
2300, 0
2310, 0
2320, 0
2320, 0
2330, 0
2340, 0
2350, 0
2360, 0
2370, 0
2380, 0
2390, 0
2400, 0
2410, 0
2420, 0
2430, 0
2440, 0
2450, 0
2460, 0
2460, 0
2470, 0
2480, 0
2490, 0
2500, 0
2510, 0
2520, 0
2530, 0
2540, 0
2550, 0
2560, 0
2570, 0
2580, 0
2590, 0
2600, 0
2610, 0
2610, 0
2620, 0
2630, 0
2640, 0
2650, 0
2660, 0
2670, 0
2680, 0
2690, 0
2700, 0
2710, 0
2720, 0
2730, 0
2740, 0
2750, 0
2750, 0
2760, 0
2770, 0
2780, 0
2790, 0
2800, 0
2810, 0
2820, 0
2830, 0
2840, 0
2850, 0
2860, 0
2870, 0
2880, 0
2890, 0
2900, 0
2900, 0
2910, 0
2920, 0
2930, 0
2940, 0
2950, 0
2960, 0
2970, 0
2980, 0
2990, 0
3000, 0
3010, 0
3020, 0
3030, 0
3040, 0
3050, 0
3050, 0
3060, 0
3070, 0
3080, 0
3090, 0
3100, 0
3110, 0
3120, 0
3130, 0
3140, 0
3150, 0
3160, 0
3170, 0
3180, 0
3190, 0
3190, 0
3200, 0
3210, 0
3220, 0
3230, 0
3240, 0
3250, 0
3260, 0
3270, 0
3280, 0
3290, 0
3300, 0
3310, 0
3320, 0
3330, 0
3340, 0
3340, 0
3350, 0
3360, 0
3370, 0
3380, 0
3390, 0
3400, 0
3410, 0
3420, 0
3430, 0
3440, 0
3450, 0
3460, 0
3470, 0
3480, 0
3490, 0
3490, 0
3500, 0
3510, 0
3520, 0
3530, 0
3540, 0
3550, 0
3560, 0
3570, 0
3580, 0
3590, 0
3600, 0
3610, 0
3620, 0
3630, 0
3630, 0
3640, 0
3650, 0
3660, 0
3670, 0
3680, 0
3690, 0
3700, 0
3710, 0
3720, 0
3730, 0
3740, 0
3750, 0
3760, 0
3770, 0
3780, 0
3780, 0
3790, 0
3800, 0
3810, 0
3820, 0
3830, 0
3840, 0
3850, 0
3860, 0
3870, 0
3880, 0
3890, 0
3900, 0
3910, 0
3920, 0
3920, 0
3930, 0
3940, 0
3950, 0
3960, 0
3970, 0
3980, 0
3990, 0
4000, 0
4010, 0
4020, 0
4030, 0
4040, 0
4050, 0
4060, 0
4070, 0
4070, 0
4080, 0
4090, 0
4100, 0
4110, 0
4120, 0
4130, 0
4140, 0
4150, 0
4160, 0
4170, 0
4180, 0
4190, 0
4200, 0
4210, 0
4220, 0
4220, 0
4230, 0
4240, 0
4250, 0
4260, 0
4270, 0
4280, 0
4290, 0
4300, 0
4310, 0
4320, 0
4330, 0
4340, 0
4350, 0
4360, 0
4360, 0
4370, 0
4380, 0
4390, 0
4400, 0
4410, 0
4420, 0
4430, 0
4440, 0
4450, 0
4460, 0
4470, 0
4480, 0
4490, 0
4500, 0
4510, 0
4510, 0
4520, 0
4530, 0
4540, 0
4550, 0
4560, 0
4570, 0
4580, 0
4590, 0
4600, 0
4610, 0
4620, 0
4630, 0
4640, 0
4650, 0
4660, 0
4660, 10
4670, -16
4690, -66
4700, -107
4710, -158
4720, -209
4740, -275
4750, -315
4760, -368
4770, -417
4790, -482
4800, -524
4810, -576
4820, -631
4830, -682
4850, -732
4860, -783
4870, -838
4880, -888
4900, -942
4910, -990
4920, -1044
4940, -1108
4950, -1157
4960, -1214
4980, -1276
4990, -1325
5000, -1381
5020, -1443
5030, -1495
5040, -1551
5060, -1607
5070, -1665
5080, -1721
5100, -1778
5110, -1836
5130, -1897
5140, -1942
5150, -1999
5170, -2068
5180, -2115
5190, -2170
5210, -2234
5220, -2283
5230, -2340
5250, -2399
5260, -2451
5270, -2506
5290, -2565
5300, -2622
5310, -2679
5330, -2735
5340, -2788
5350, -2845
5370, -2901
5380, -2959
5400, -3027
5410, -3072
5420, -3129
5440, -3191
5450, -3242
5460, -3296
5480, -3355
5490, -3406
5500, -3465
5520, -3527
5530, -3580
5540, -3636
5560, -3691
5570, -3747
5580, -3803
5600, -3861
5610, -3915
5630, -3983
5640, -4031
5650, -4087
5670, -4151
5680, -4197
5690, -4252
5710, -4315
5720, -4367
5730, -4426
5750, -4483
5760, -4535
5770, -4592
5790, -4651
5800, -4705
5810, -4762
5830, -4817
5840, -4874
5860, -4941
5870, -4987
5880, -5045
5900, -5107
5910, -5155
5920, -5213
5940, -5277
5950, -5328
5960, -5381
5980, -5441
5990, -5493
6000, -5551
6020, -5610
6030, -5665
6040, -5721
6060, -5777
6070, -5835
6090, -5900
6100, -5944
6110, -5999
6130, -6069
6140, -6116
6150, -6174
6170, -6236
6180, -6283
6190, -6338
6210, -6399
6220, -6453
6230, -6510
6250, -6567
6260, -6624
6270, -6680
6290, -6737
6300, -6791
6310, -6847
6330, -6902
6340, -6960
6360, -7030
6370, -7077
6380, -7132
6400, -7193
6410, -107243
6430, -107322
6440, -107375
6460, -107444
6470, -107503
6490, -107572
6500, -107638
6520, -107699
6530, -107763
6550, -107832
6570, -107904
6580, -107962
6600, -108031
6610, -108091
6630, -108158
6640, -108224
6660, -108287
6670, -108350
6690, -108417
6710, -108491
6720, -108550
6740, -108616
6750, -108680
6770, -108745
6780, -108809
6800, -108873
6820, -108948
6830, -109003
6850, -109078
6860, -109137
6880, -109199
6890, -109265
6910, -109332
6920, -109395
6940, -109459
6960, -109536
6970, -109592
6990, -109663
7000, -109723
7020, -109785
7030, -109850
7050, -109916
7060, -109983
7080, -110046
7100, -110119
7110, -110178
7130, -110246
7140, -110305
7160, -110370
7170, -110437
7190, -110499
7210, -110579
7220, -110634
7240, -110702
7250, -110760
7270, -110830
7280, -110892
7300, -110953
7310, -111019
7330, -111087
7350, -111161
7360, -111213
7380, -111284
7390, -111344
7410, -111407
7420, -111474
7440, -111514
7450, -111545
7470, -111578
7490, -111614
7500, -111634
7520, -111636
7530, -111636
7550, -111637
7560, -111637
7580, -111637
7600, -111637
7610, -111637
7630, -111637
7640, -111637
7660, -111637
7670, -111637
7690, -111637
7700, -111637
7720, -111637
7740, -111637
7750, -111637
7770, -111637
7780, -111637
7800, -111637
7810, -111637
7830, -111637
7840, -111637
7860, -111628
7880, -111610
7890, -111595
7910, -111580
7920, -111543
7940, -111487
7950, -111430
7970, -111370
7990, -111301
8000, -111248
8020, -111180
8030, -111122
8050, -111056
8060, -110996
8080, -110932
8090, -110868
8110, -110802
8130, -110732
8140, -110679
8160, -110610
8170, -110547
8190, -110486
8200, -110424
8220, -110358
8230, -110294
8250, -110232
8270, -110161
8280, -110105
8300, -110038
8310, -109977
8330, -109910
8340, -109849
8360, -109789
8380, -109715
8390, -109664
8410, -109595
8420, -109537
8440, -109473
8450, -109408
8470, -109342
8480, -109283
8500, -109219
8520, -109143
8530, -109089
8550, -109023
8560, -108962
8580, -108897
8590, -108834
8610, -108773
8620, -108709
