01016
18140, -201016
18160, -201016
18180, -201016
18190, -201016
18210, -201016
18230,û0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
10, 0
10, 0
20, 0
30, 0
40, 0
40, 0
50, 0
60, 0
70, 0
70, 0
80, 0
90, 0
90, 0
100, 0
110, 0
120, 0
130, 0
140, 0
140, 0
150, 0
160, 0
170, 0
180, 0
190, 0
190, 0
200, 0
210, 0
220, 0
230, 0
240, 0
240, 0
250, 0
260, 0
270, 0
280, 0
290, 0
290, 0
300, 0
310, 0
320, 0
330, 0
330, 0
340, 0
350, 0
360, 0
370, 0
380, 0
380, 0
390, 0
400, 0
410, 0
420, 0
430, 0
430, 0
440, 0
450, 0
460, 0
470, 0
480, 0
480, 0
490, 0
500, 0
510, 0
520, 0
530, 0
530, 0
540, 0
550, 0
560, 0
570, 0
580, 0
580, 0
590, 0
600, 0
610, 0
620, 0
630, 0
630, 0
640, 0
650, 0
660, 0
670, 0
680, 0
680, 0
690, 0
700, 0
710, 0
720, 0
730, 0
730, 0
740, 0
750, 0
760, 0
770, 0
780, 0
780, 0
790, 0
800, 0
810, 0
820, 0
830, 0
830, 0
840, 0
850, 0
860, 0
870, 0
880, 0
880, 0
890, 0
900, 0
910, 0
920, 0
930, 0
930, 0
940, 0
950, 0
960, 0
970, 0
980, 0
980, 0
990, 0
1000, 0
1010, 0
1020, 0
1030, 0
1040, 0
1050, 0
1060, 0
1070, 0
1080, 0
1080, 0
1090, 0
1100, 0
1110, 0
1120, 0
1130, 0
1140, 0
1150, 0
1160, 0
1170, 0
1180, 0
1190, 0
1200, 0
1210, 0
1220, 0
1230, 0
1230, 0
1240, 0
1250, 0
1260, 0
1270, 0
1280, 0
1290, 0
1300, 0
1310, 0
1320, 0
1330, 0
1340, 0
1350, 0
1360, 0
1370, 0
1370, 0
1380, 0
1390, 0
1400, 0
1410, 0
1420, 0
1430, 0
1440, 0
1450, 0
1460, 0
1470, 0
1480, 0
1490, 0
1500, 0
1510, 0
1520, 0
1520, 0
1530, 0
1540, 0
1550, 0
1560, 0
1570, 0
1580, 0
1590, 0
1600, 0
1610, 0
1620, 0
1630, 0
1640, 0
1650, 0
1660, 0
1670, 0
1670, 0
1680, 0
1690, 0
1700, 0
1710, 0
1720, 0
1730, 0
1740, 0
1750, 0
1760, 0
1770, 0
1780, 0
1790, 0
1800, 0
1810, 0
1810, 0
1820, 0
1830, 0
1840, 0
1850, 0
1860, 0
1870, 0
1880, 0
1890, 0
1900, 0
1910, 0
1920, 0
1930, 0
1940, 0
1950, 0
1960, 0
1960, 0
1970, 0
1980, 0
1990, 0
2000, 0
2010, 0
2020, 0
2030, 0
2040, 0
2050, 0
2060, 0
2070, 0
2080, 0
2090, 0
2100, 0
2110, 0
2110, 0
2120, 0
2130, 0
2140, 0
2150, 0
2160, 0
2170, 0
2180, 0
2190, 0
2200, 0
2210, 0
2220, 0
2230, 0
2240, 0
2250, 0
2250, 0
2260, 0
2270, 0
2280, 0
2290, 0
2300, 0
2310, 0
2320, 0
2330, 0
2340, 0
2350, 0
2360, 0
2370, 0
2380, 0
2390, 0
2400, 0
2400, 0
2410, 0
2420, 0
2430, 0
2440, 0
2450, 0
2460, 0
2470, 0
2480, 0
2490, 0
2500, 0
2510, 0
2520, 0
2530, 0
2540, 0
2540, 0
2550, 0
2560, 0
2570, 0
2580, 0
2590, 0
2600, 0
2610, 0
2620, 0
2630, 0
2640, 0
2650, 0
2660, 0
2670, 0
2680, 0
2690, 0
2690, 0
2700, 0
2710, 0
2720, 0
2730, 0
2740, 0
2750, 0
2760, 0
2770, 0
2780, 0
2790, 0
2800, 0
2810, 0
2820, 0
2830, 0
2840, 0
2840, 0
2850, 0
2860, 0
2870, 0
2880, 0
2890, 0
2900, 0
2910, 0
2920, 0
2930, 0
2940, 0
2950, 0
2960, 0
2970, 0
2980, 0
2980, 0
2990, 0
3000, 0
3010, 0
3020, 0
3030, 0
3040, 0
3050, 0
3060, 0
3070, 0
3080, 0
3090, 0
3100, 0
3110, 0
3120, 0
3130, 0
3130, 0
3140, 0
3150, 0
3160, 0
3170, 0
3180, 0
3190, 0
3200, 0
3210, 0
3220, 0
3230, 0
3240, 0
3250, 0
3260, 0
3270, 0
3280, 0
3280, 0
3290, 0
3300, 0
3310, 0
3320, 0
3330, 0
3340, 0
3350, 0
3360, 0
3370, 0
3380, 0
3390, 0
3400, 0
3410, 0
3420, 0
3420, 0
3430, 0
3440, 0
3450, 0
3460, 0
3470, 0
3480, 0
3490, 0
3500, 0
3510, 0
3520, 0
3530, 0
3540, 0
3550, 0
3560, 0
3570, 0
3570, 0
3580, 0
3590, 0
3600, 0
3610, 0
3620, 0
3630, 0
3640, 0
3650, 0
3660, 0
3670, 0
3680, 0
3690, 0
3700, 0
3710, 0
3710, 0
3720, 0
3730, 0
3740, 0
3750, 0
3760, 0
3770, 0
3780, 0
3790, 0
3800, 0
3810, 0
3820, 0
3830, 0
3840, 0
3850, 0
3860, 0
3860, 0
3870, 0
3880, 0
3890, 0
3900, 0
3910, 0
3920, 0
3930, 0
3940, 0
3950, 0
3960, 0
3970, 0
3980, 0
3990, 0
4000, 0
4010, 0
4010, 0
4020, 0
4030, 0
4040, 0
4050, 0
4060, 0
4070, 0
4080, 0
4090, 0
4100, 0
4110, 0
4120, 0
4130, 0
4140, 0
4150, 0
4150, 0
4160, 0
4170, 0
4180, 0
4190, 0
4200, 0
4210, 0
4220, 0
4230, 0
4240, 0
4250, 0
4260, 0
4270, 0
4280, 0
4290, 0
4300, 0
4300, 0
4310, 0
4320, 0
4330, 0
4340, 0
4350, 0
4360, 0
4370, 0
4380, 0
4390, 0
4400, 0
4410, 0
4420, 0
4430, 0
4440, 0
4450, 0
4450, 0
4460, 0
4470, 0
4480, 0
4490, 0
4500, 0
4510, 0
4520, 0
4530, 0
4540, 0
4550, 0
4560, 0
4570, 0
4580, 0
4590, 0
4590, 0
4600, 0
4610, 0
4620, 0
4630, 0
4640, 0
4650, 0
4660, 0
4670, 0
4680, 0
4690, 0
4700, 0
4710, 0
4720, 0
4730, 0
4740, 0
4740, 0
4750, 0
4760, 0
4770, 0
4780, 0
4790, 0
4800, 0
4810, 0
4820, 0
4830, 0
4840, 0
4850, 0
4860, 27
4870, 33
4880, 33
4890, 33
4900, 33
4910, 33
4920, 33
4930, 33
4940, 33
4950, 33
4960, 33
4970, 33
4980, 33
4990, 33
5000, 33
5010, 33
5020, 33
5030, 33
5040, 33
5050, 33
5060, 33
5080, 33
5090, 33
5100, 33
5110, 33
5120, 33
5130, 33
5140, 33
5150, 33
5160, 33
5170, 33
5180, 33
5190, 33
5200, 33
5210, 33
5220, 33
5230, 33
5240, 33
5250, 33
5260, 33
5270, 33
5280, 33
5290, 33
5300, 33
5310, 33
5320, 33
5340, 33
5350, 33
5360, 33
5370, 33
5380, 33
5390, 33
5400, 33
5410, 33
5420, 33
5430, 33
5440, 33
5450, 33
5460, 33
5470, 33
5480, 33
5490, 33
5500, 33
5510, 33
5520, 33
5530, 33
5540, 33
5550, 33
5560, 33
5570, 33
5580, 33
5600, 33
5610, 33
5620, 33
5630, 33
5640, 33
5650, 33
5660, 33
5670, 33
5680, 33
5690, 33
5700, 33
5710, 33
5720, 33
5730, 33
5740, 33
5750, 33
5760, 33
5770, 33
5780, 33
5790, 33
5800, 33
5810, 33
5820, 33
5830, 33
5840, 33
5860, 33
5870, 33
5880, 33
5890, 33
5900, 33
5910, 33
5920, 33
5930, 33
5940, 33
5950, 33
5960, 33
5970, 33
5980, 33
5990, 33
6000, 33
6010, 33
6020, 33
6030, 33
6040, 33
6050, 33
6060, 33
6070, 33
6080, 33
6090, 33
6100, 33
6120, 33
6130, 33
6140, 33
6150, 33
6160, 33
6170, 33
6180, 33
6190, 33
6200, 33
6210, 33
6220, 33
6230, 33
6240, 33
6250, 33
6260, 33
6270, 33
6280, 33
6290, 33
6300, 33
6310, 33
6320, 33
6330, 33
6340, 33
6350, 33
6360, 33
6380, 33
6390, 34
6400, 34
6410, 34
6420, 34
6430, 34
6440, 34
6450, 34
6460, 34
6470, 34
6480, 34
6490, 34
6500, 34
6510, 34
6520, 34
6530, 34
6540, 34
6550, 33
6560, 31
6570, 28
6580, 24
6590, 21
6600, 17
6610, 13
6620, 7
6630, 2
6640, -3
6650, -8
6660, -14
6680, -24
6690, -32
6700, -40
6710, -47
6720, -54
6730, -61
6740, -69
6760, -78
6770, -82
6780, -87
6790, -91
6800, -94
6810, -98
6820, -101
6840, -106
6850, -110
6860, -115
6870, -121
6890, -128
6900, -136
6910, -145
6920, -152
6940, -160
6950, -168
6960, -179
6970, -190
6990, -200
7000, -208
7010, -218
7020, -229
7040, -243
7050, -254
7060, -268
7070, -284
7090, -300
7100, -310
7110, -322
7120, -336
7140, -349
7150, -359
7160, -372
7170, -386
7190, -399
7200, -407
7210, -417
7220, -430
7240, -444
7250, -451
7260, -461
7270, -472
7290, -485
7300, -494
7310, -503
7320, -513
7340, -527
7350, -540
7360, -551
