0,0
10510, -202076
10530, -202076
10550, -202076
10560, -202076
10580, -202076
10600, -202076
10610, -202076
10500, -202076
10510, -202076
10530, -202076
10550, -202076
10560, -202076
10580, -202076
10600, -202076
10610, -202076
0, 0
170, 0
180, 0
190, 0
200, 0
210, 0
220, 0
230, 0
240, 0
250, 0
260, 0
270, 0
280, 0
290, 0
300, 0
310, 0
320, 0
330, 0
340, 0
350, 0
360, 0
370, 0
220, 0
220, 0
230, 0
240, 0
250, 0
250, 0
260, 0
270, 0
280, 0
280, 0
290, 0
300, 0
300, 0
310, 0
320, 0
330, 0
340, 0
350, 0
350, 0
360, 0
370, 0
380, 0
390, 0
400, 0
400, 0
410, 0
420, 0
430, 0
440, 0
450, 0
450, 0
460, 0
470, 0
480, 0
490, 0
500, 0
500, 0
510, 0
520, 0
530, 0
540, 0
540, 0
550, 0
560, 0
570, 0
580, 0
590, 0
590, 0
600, 0
610, 0
620, 0
630, 0
640, 0
640, 0
650, 0
660, 0
670, 0
680, 0
690, 0
690, 0
700, 0
710, 0
720, 0
730, 0
740, 0
740, 0
750, 0
760, 0
770, 0
780, 0
790, 0
790, 0
800, 0
810, 0
820, 0
830, 0
840, 0
840, 0
850, 0
860, 0
870, 0
880, 0
890, 0
890, 0
900, 0
910, 0
920, 0
930, 0
940, 0
940, 0
950, 0
960, 0
970, 0
980, 0
990, 0
990, 0
1000, 0
1010, 0
1020, 0
1030, 0
1040, 0
1040, 0
1050, 0
1060, 0
1070, 0
1080, 0
1090, 0
1090, 0
1100, 0
1110, 0
1120, 0
1130, 0
1140, 0
1140, 0
1150, 0
1160, 0
1170, 0
1180, 0
1190, 0
1190, 0
1200, 0
1210, 0
1220, 0
1230, 0
1240, 0
1250, 0
1260, 0
1270, 0
1280, 0
1290, 0
1290, 0
1300, 0
1310, 0
1320, 0
1330, 0
1340, 0
1350, 0
1360, 0
1370, 0
1380, 0
1390, 0
1400, 0
1410, 0
1420, 0
1430, 0
1440, 0
1440, 0
1450, 0
1460, 0
1470, 0
1480, 0
1490, 0
1500, 0
1510, 0
1520, 0
1530, 0
1540, 0
1550, 0
1560, 0
1570, 0
1580, 0
1580, 0
1590, 0
1600, 0
1610, 0
1620, 0
1630, 0
1640, 0
1650, 0
1660, 0
1670, 0
1680, 0
1690, 0
1700, 0
1710, 0
1720, 0
1730, 0
1730, 0
1740, 0
1750, 0
1760, 0
1770, 0
1780, 0
1790, 0
1800, 0
1810, 0
1820, 0
1830, 0
1840, 0
1850, 0
1860, 0
1870, 0
1880, 0
1880, 0
1890, 0
1900, 0
1910, 0
1920, 0
1930, 0
1940, 0
1950, 0
1960, 0
1970, 0
1980, 0
1990, 0
2000, 0
2010, 0
2020, 0
2020, 0
2030, 0
2040, 0
2050, 0
2060, 0
2070, 0
2080, 0
2090, 0
2100, 0
2110, 0
2120, 0
2130, 0
2140, 0
2150, 0
2160, 0
2170, 0
2170, 0
2180, 0
2190, 0
2200, 0
2210, 0
2220, 0
2230, 0
2240, 0
2250, 0
2260, 0
2270, 0
2280, 0
2290, 0
2300, 0
2310, 0
2320, 0
2320, 0
2330, 0
2340, 0
2350, 0
2360, 0
2370, 0
2380, 0
2390, 0
2400, 0
2410, 0
2420, 0
2430, 0
2440, 0
2450, 0
2460, 0
2460, 0
2470, 0
2480, 0
2490, 0
2500, 0
2510, 0
2520, 0
2530, 0
2540, 0
2550, 0
2560, 0
2570, 0
2580, 0
2590, 0
2600, 0
2610, 0
2610, 0
2620, 0
2630, 0
2640, 0
2650, 0
2660, 0
2670, 0
2680, 0
2690, 0
2700, 0
2710, 0
2720, 0
2730, 0
2740, 0
2750, 0
2750, 0
2760, 0
2770, 0
2780, 0
2790, 0
2800, 0
2810, 0
2820, 0
2830, 0
2840, 0
2850, 0
2860, 0
2870, 0
2880, 0
2890, 0
2900, 0
2900, 0
2910, 0
2920, 0
2930, 0
2940, 0
2950, 0
2960, 0
2970, 0
2980, 0
2990, 0
3000, 0
3010, 0
3020, 0
3030, 0
3040, 0
3050, 0
3050, 0
3060, 0
3070, 0
3080, 0
3090, 0
3100, 0
3110, 0
3120, 0
3130, 0
3140, 0
3150, 0
3160, 0
3170, 0
3180, 0
3190, 0
3190, 0
3200, 0
3210, 0
3220, 0
3230, 0
3240, 0
3250, 0
3260, 0
3270, 0
3280, 0
3290, 0
3300, 0
3310, 0
3320, 0
3330, 0
3340, 0
3340, 0
3350, 0
3360, 0
3370, 0
3380, 0
3390, 0
3400, 0
3410, 0
3420, 0
3430, 0
3440, 0
3450, 0
3460, 0
3470, 0
3480, 0
3490, 0
3490, 0
3500, 0
3510, 0
3520, 0
3530, 0
3540, 0
3550, 0
3560, 0
3570, 0
3580, 0
3590, 0
3600, 0
3610, 0
3620, 0
3630, 0
3630, 0
3640, 0
3650, 0
3660, 0
3670, 0
3680, 0
3690, 0
3700, 0
3710, 0
3720, 0
3730, 0
3740, 0
3750, 0
3760, 0
3770, 0
3780, 0
3780, 0
3790, 0
3800, 0
3810, 0
3820, 0
3830, 0
3840, 0
3850, 0
3860, 0
3870, 0
3880, 0
3890, 0
3900, 0
3910, 0
3920, 0
3920, 0
3930, 0
3940, 0
3950, 0
3960, 0
3970, 0
3980, 0
3990, 0
4000, 0
4010, 0
4020, 0
4030, 0
4040, 0
4050, 0
4060, 0
4070, 0
4070, 0
4080, 0
4090, 0
4100, 0
4110, 0
4120, 0
4130, 0
4140, 0
4150, 0
4160, 0
4170, 0
4180, 0
4190, 0
4200, 0
4210, 0
4220, 0
4220, 0
4230, 0
4240, 0
4250, 0
4260, 0
4270, 0
4280, 0
4290, 0
4300, 0
4310, 0
4320, 0
4330, 0
4340, 0
4350, 0
4360, 0
4360, 0
4370, 0
4380, 0
4390, 0
4400, 0
4410, 0
4420, 0
4430, 0
4440, 0
4450, 0
4460, 0
4470, 0
4480, 0
4490, 0
4500, 0
4510, 0
4510, 0
4520, 0
4530, 0
4540, 0
4550, 0
4560, 0
4570, 0
4580, 0
4590, 0
4600, 0
4610, 0
4620, 0
4630, 0
4640, 0
4650, 0
4660, 0
4660, 0
4670, 0
4680, 0
4690, 0
4700, 0
4710, 0
4720, 0
4730, 0
4740, 0
4750, 0
4760, 0
4770, 0
4780, 0
4790, 0
4800, 0
4800, 0
4810, 0
4820, 0
4830, 0
4840, 0
4850, 0
4860, 0
4870, 0
4880, 0
4890, 0
4900, 0
4910, 0
4920, 0
4930, -47
4940, -45
4950, -45
4960, -45
4970, -45
4980, -45
5000, -45
5010, -45
5020, -45
5030, -45
5040, -45
5050, -45
5060, -45
5080, -45
5090, -45
5100, -45
5110, -45
5120, -45
5130, -45
5140, -45
5160, -45
5170, -45
5180, -45
5190, -45
5200, -45
5210, -45
5220, -45
5240, -45
5250, -45
5260, -45
5270, -45
5280, -45
5290, -45
5300, -45
5320, -45
5330, -45
5340, -45
5350, -45
5360, -45
5370, -45
5380, -45
5400, -45
5410, -45
5420, -45
5430, -45
5440, -45
5450, -45
5460, -45
5480, -45
5490, -45
5500, -45
5510, -45
5520, -45
5530, -45
5540, -45
5560, -45
5570, -45
5580, -45
5590, -45
5600, -45
5610, -45
5620, -45
5640, -45
5650, -45
5660, -45
5670, -45
5680, -45
5690, -45
5700, -45
5720, -45
5730, -45
5740, -45
5750, -45
5760, -45
5770, -45
5780, -45
5800, -45
5810, -45
5820, -45
5830, -45
5840, -45
5850, -54
5860, -80
5880, -103
5890, -120
5900, -146
5910, -169
5930, -202
5940, -224
5950, -252
5960, -279
5980, -309
5990, -335
6000, -362
6010, -392
6030, -425
6040, -450
6050, -479
6060, -509
6080, -553
6090, -585
6100, -620
6110, -657
6130, -700
6140, -735
6150, -774
6160, -811
6180, -859
6190, -892
6200, -930
6210, -968
6230, -1013
6240, -1050
6250, -1093
6270, -1142
6280, -1177
6290, -1219
6310, -1265
6320, -1304
6330, -1349
6350, -1392
6360, -1434
6370, -1475
6390, -1516
6400, -1558
6410, -1599
6430, -1644
6440, -1686
6460, -1739
6470, -1772
6480, -1812
6500, -1859
6510, -1895
6520, -1939
6540, -1983
6550, -2014
6560, -2052
6580, -2092
6590, -2129
6600, -2164
6620, -2200
6630, -2239
6640, -2275
6660, -2312
6670, -2351
6690, -2393
6700, -2424
6710, -2460
6730, -2505
6740, -2540
6750, -2577
6770, -2617
6780, -2652
6790, -2692
6810, -2735
6820, -2769
6830, -2805
6850, -2845
6860, -2884
6870, -2921
6890, -2959
6900, -2996
6910, -3035
6930, -3071
6940, -3107
6960, -3152
6970, -3182
6980, -3218
7000, -3260
7010, -3294
7020, -3334
7040, -3372
7050, -3403
7060, -3443
7080, -3481
7090, -3515
7100, -3552
7120, -3590
7130, -3629
7140, -3666
7160, -3704
7170, -3745
7190, -3789
7200, -3820
7210, -3857
7230, -3901
7240, -3937
7250, -3974
7270, -4013
7280, -4049
7290, -4088
7310, -4131
7320, -4164
7330, -4201
7350, -4242
7360, -4280
7370, -4318
7390, -4356
7400, -4394
7420, -4441
7430, -4470
7440, -4507
7460, -4552
7470, -4585
7480, -4624
7500, -4665
7510, -4699
7520, -4740
7540, -4780
7550, -4815
7560, -4853
7580, -4893
7590, -4931
7600, -104967
7620, -105010
7640, -105061
7650, -105099
7670, -105147
7680, -105189
7700, -105235
7710, -105279
7730, -105322
7740, -105366
7760, -105409
7780, -105458
7790, -105497
7810, -105544
7820, -105586
7840, -105631
7850, -105675
7870, -105718
7890, -105771
7900, -105807
7920, -105856
7930, -105897
7950, -105943
7960, -105986
7980, -106030
7990, -106074
8010, -106116
8030, -106167
8040, -106204
8060, -106253
8070, -106295
8090, -106341
8100, -106384
8120, -106428
8130, -106471
8150, -106513
8170, -106563
